system:index,cri1,date,latitude,longitude,.geo
20250103T053129_20250103T054245_T43QCA,3.289102266320634,2025-01-03,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,0.6340569118730348,2025-01-13,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,3.959348434157314,2025-01-18,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2.5066596236186127,2025-01-23,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,5.513222311734851,2025-02-02,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2.6493141416655943,2025-02-07,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,4.882466744568809,2025-02-12,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,9.387560304319923,2025-02-17,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,3.9372688716348647,2025-02-22,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,6.470373758823492,2025-02-27,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,4.651548821490481,2025-03-04,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,6.430527316868047,2025-03-09,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,4.814085545690643,2025-03-14,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,9.270056955431416,2025-03-19,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,4.57610895934889,2025-03-24,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
