system:index,date,lai,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,0.7537036218776355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,0.5144917487997667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,0.6941600549926834,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,0.682970001578742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,0.7520703598969227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,0.5850531172698235,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,0.7440461789018641,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,0.7065482688390032,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,0.6125877475842753,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,0.6540364435122786,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,0.6386011507870359,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,0.6304364277086427,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,0.6459141415212669,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,0.6666892576077715,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,0.6563474750454457,"{""type"":""MultiPoint"",""coordinates"":[]}"
