system:index,date,latitude,longitude,ndmi,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.5216365135558,74.02188645373674,0.21129412248012241,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.5216365135558,74.02188645373674,0.16861681727815875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.5216365135558,74.02188645373674,0.12489134410071524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.5216365135558,74.02188645373674,0.15340928197925505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.5216365135558,74.02188645373674,0.11592816434198926,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.5216365135558,74.02188645373674,0.100030804108139,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.5216365135558,74.02188645373674,0.1029921625155467,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.5216365135558,74.02188645373674,0.0971375581915955,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.5216365135558,74.02188645373674,0.06797289482510144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.5216365135558,74.02188645373674,0.09096465917693364,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.5216365135558,74.02188645373674,0.09962810419864601,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.5216365135558,74.02188645373674,0.12100254755958965,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.5216365135558,74.02188645373674,0.11251299979529991,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.5216365135558,74.02188645373674,0.12845003237424832,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.5216365135558,74.02188645373674,0.14176239125320364,"{""type"":""MultiPoint"",""coordinates"":[]}"
