system:index,date,latitude,longitude,sarwi,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.65500001695405,73.70499999997936,-0.4255965500973185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.65500001695405,73.70499999997936,-0.31596719812090124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.65500001695405,73.70499999997936,-0.4082392855816529,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.65500001695405,73.70499999997936,-0.40102817954540027,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.65500001695405,73.70499999997936,-0.455004213364321,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.65500001695405,73.70499999997936,-0.385592133455721,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.65500001695405,73.70499999997936,-0.44485908078226966,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.65500001695405,73.70499999997936,-0.4569707851983109,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.65500001695405,73.70499999997936,-0.4093989074719673,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.65500001695405,73.70499999997936,-0.4380675136185679,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.65500001695405,73.70499999997936,-0.42526744550230533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.65500001695405,73.70499999997936,-0.4314430286118195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.65500001695405,73.70499999997936,-0.44363385958745244,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.65500001695405,73.70499999997936,-0.4541776068555061,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.65500001695405,73.70499999997936,-0.42964690637706854,"{""type"":""MultiPoint"",""coordinates"":[]}"
